receiver_pseudo,sender_pseudo,t_prev,t_curr,dt,x_prev,y_prev,x_curr,y_curr,dx,dy,dist,speed_prev,speed_curr,dv,jerk,acc_prev,acc_curr,dacc,heading_prev,heading_curr,dtheta,heading_rate,rate_msgs_per_s,pos_conf_x_curr,pos_conf_y_curr,spd_conf_x_curr,spd_conf_y_curr,acc_conf_x_curr,acc_conf_y_curr,head_conf_x_curr,head_conf_y_curr,label,mb_version,row_id,fused_anom,rsu_anom,obu_anom,rsu_score,trust_sender,trust_pair
102615,107351,1426.086891,1427.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,2.872321,0.0,-2.872321,-2.872321,4.514286,8.6e-05,-4.5142,-0.770828,-0.773034,-0.002206,-0.002206,1.0,3.570459,3.338084,-0.0,0.0,0.000901,0.000871,2.567562,2.567562,1,v2,3238,1,1,0,0.6270524533464511,0.0091200126524541,0.0190533576968223
102615,107351,1427.086891,1428.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6e-05,8.6e-05,0.0,-0.773034,-0.773034,0.0,0.0,1.0,3.559617,3.319072,-0.0,0.0,0.0,0.0,2.567562,2.567562,1,v2,3239,1,1,0,0.580416920601795,0.0091200126524541,0.0190533576968223
102615,107351,1428.086891,1429.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,0.0,2.323296,2.323296,2.323296,8.6e-05,2.596243,2.596156,-0.773034,-0.744626,0.028408,0.028408,1.0,3.559681,3.440159,-0.000748,0.000684,0.000748,0.000684,2.16291,3.003221,1,v2,3240,1,1,0,0.6355171413293497,0.0091200126524541,0.0190533576968223
102615,107351,1429.086891,1430.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,2.323296,4.504306,2.18101,2.18101,2.596243,2.329475,-0.266768,-0.744626,-0.483953,0.260673,0.260673,1.0,3.485256,3.381908,-0.001743,0.000907,0.000995,0.000223,1.721811,3.160888,1,v2,3241,1,1,0,0.6406477572089129,0.0091200126524541,0.0190533576968223
102615,107351,1430.086891,1431.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,4.504306,6.550445,2.04614,2.04614,2.329475,1.828466,-0.501009,-0.483953,0.560277,1.04423,1.04423,1.0,3.554951,3.469689,-0.002414,-0.001529,0.000671,0.002436,1.476297,1.808545,1,v2,3242,1,1,0,0.6656920739100874,0.0091200126524541,0.0190533576968223
102615,107351,1431.086891,1432.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,6.550445,8.651943,2.101498,2.101498,1.828466,1.513293,-0.315173,0.560277,0.783231,0.222954,0.222954,1.0,3.546286,3.59164,-0.002661,-0.002676,0.000247,0.001148,1.394978,1.39024,1,v2,3243,1,1,0,0.6611672872913215,0.0091200126524541,0.0190533576968223
102615,107351,1432.086891,1433.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,8.651943,10.525937,1.873994,1.873994,1.513293,1.396116,-0.117177,0.783231,0.783118,-0.000112,-0.000112,1.0,3.560273,3.649209,-0.003238,-0.003256,0.000576,0.00058,1.22232,1.217271,1,v2,3244,1,1,0,0.6663343520619026,0.0091200126524541,0.0190533576968223
102615,107351,1433.086891,1434.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,10.525937,12.563083,2.037146,2.037146,1.396116,2.436294,1.040178,0.783118,0.782741,-0.000378,-0.000378,1.0,3.449351,3.590325,-0.003864,-0.003886,0.000627,0.00063,1.058766,1.053548,1,v2,3245,1,1,0,0.6663343520619026,0.0091200126524541,0.0190533576968223
102615,107351,1434.086891,1435.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,12.563083,14.262422,1.699338,1.699338,2.436294,0.186863,-2.249432,0.782741,0.781926,-0.000815,-0.000815,1.0,3.467865,3.533376,-0.004391,-0.004408,0.000526,0.000522,0.938419,0.934707,1,v2,3246,1,1,0,0.6638343520619026,0.0091200126524541,0.0190533576968223
102615,107351,1435.086891,1436.086891,1.0,14774.134702,4748.34287,14774.134702,4748.34287,0.0,0.0,0.0,14.262422,14.22228,-0.040141,-0.040141,0.186863,0.71159,0.524727,0.781926,0.952706,0.17078,0.17078,1.0,3.58775,3.361384,-0.003563,-0.005079,0.000828,0.000671,1.134486,0.801459,1,v2,3247,1,1,0,0.6337709330828817,0.0091200126524541,0.0190533576968223
