row_id,receiver_pseudo,sender_pseudo,label,fused_anom,rsu_anom,obu_anom,rsu_score,dt
13190,101834,106155,1,1,1,0,0.9896658704588378,1.0
13202,101834,106155,1,1,1,0,0.9873278011341188,1.0
16754,102915,106155,1,1,1,0,0.9873278011341188,1.0
14992,103035,106155,1,1,1,0,0.9873278011341188,1.0
13204,101834,106155,1,1,1,0,0.9848034490680612,1.0
14994,103035,106155,1,1,1,0,0.9848034490680612,1.0
16756,102915,106155,1,1,1,0,0.9848034490680612,1.0
13207,101834,106155,1,1,1,0,0.9824705138386424,1.0
14996,103035,106155,1,1,1,0,0.9824705138386424,1.0
16760,102915,106155,1,1,1,0,0.9824705138386424,1.0
16765,102915,106155,1,1,1,0,0.9824705138386424,1.0
16758,102915,106155,1,1,1,0,0.9799705138386424,1.0
14993,103035,106155,1,1,1,0,0.9798034490680612,1.0
16755,102915,106155,1,1,1,0,0.9798034490680612,1.0
13203,101834,106155,1,1,1,0,0.9798034490680612,1.0
15131,106695,106155,1,1,1,0,0.979355405544739,1.0
13189,101834,106155,1,1,1,0,0.979355405544739,1.0
16763,102915,106155,1,1,1,0,0.9774705138386424,2.0
14998,103035,106155,1,1,1,0,0.9774705138386424,1.0
14991,103035,106155,1,1,1,0,0.9771658704588378,1.0
13192,101834,106155,1,1,1,0,0.9771658704588378,1.0
15133,106695,106155,1,1,1,0,0.9771658704588378,1.0
13206,101834,106155,1,1,1,0,0.9749705138386424,2.0
3430,10572,10151,1,1,1,0,0.9749122289549216,1.0
16757,102915,106155,1,1,1,0,0.9748034490680612,1.0
14995,103035,106155,1,1,1,0,0.9748034490680612,1.0
13205,101834,106155,1,1,1,0,0.9748034490680612,1.0
16759,102915,106155,1,1,1,0,0.9724705138386424,1.0
13191,101834,106155,1,1,1,0,0.972107585575117,1.0
15132,106695,106155,1,1,1,0,0.969607585575117,2.0
16753,102915,106155,1,1,1,0,0.969524786618766,1.0
13201,101834,106155,1,1,1,0,0.969524786618766,1.0
3428,10572,10151,1,1,1,0,0.9597400300890404,1.0
13196,101834,106155,1,1,1,0,0.9597190212472588,1.0
5762,104655,104955,1,1,1,0,0.9544693195268992,1.0
14087,101954,104955,1,1,1,0,0.9522956591874796,1.0
14047,104475,104955,1,1,1,0,0.9522956591874796,1.0
3687,101053,10151,1,1,1,0,0.9520684246540052,1.0
3425,10572,10151,1,1,1,0,0.9497956591874792,1.0
5698,104655,104955,1,1,1,0,0.949658080578256,1.0
3686,101053,10151,1,1,1,0,0.9470101397702844,1.0
5697,104655,104955,1,1,1,0,0.944549300691396,1.0
13193,101834,106155,1,1,1,0,0.942049300691396,1.0
13195,101834,106155,1,1,1,0,0.9396024514798168,1.0
14048,104475,104955,1,1,1,0,0.9373539440712004,1.0
14088,101954,104955,1,1,1,0,0.9373539440712004,1.0
5700,104655,104955,1,1,1,0,0.9372276995440046,1.0
3676,101053,10151,1,1,1,0,0.9349608390788882,1.0
3489,10572,10151,1,1,1,0,0.9349608390788882,1.0
3685,101053,10151,1,1,1,0,0.9347060032632284,1.0
