row_id,receiver_pseudo,sender_pseudo,dt,obu_anom,obu_risk,rsu_anom,rsu_score,trust_sender,trust_pair,fused_anom,fused_risk
0,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
1,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
2,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
3,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
4,105255,102615,1.0,0,0.0,0,0.004970513838642313,0.9989223039879775,0.99822695035461,0,0.004970513838642313
5,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
6,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
7,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
8,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
9,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
10,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
11,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
12,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
13,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
14,105255,102615,1.0,0,0.0,0,0.0025,0.9989223039879775,0.99822695035461,0,0.0025
15,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
16,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
17,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
18,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
19,105255,102615,1.0,0,0.0,0,0.0025,0.9989223039879775,0.99822695035461,0,0.0025
20,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
21,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
22,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
23,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
24,105255,102615,1.0,0,0.0,0,0.004883430232558139,0.9989223039879775,0.99822695035461,0,0.004883430232558139
25,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
26,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
27,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
28,105255,102615,1.0,0,0.0,0,0.0025,0.9989223039879775,0.99822695035461,0,0.0025
29,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
30,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
31,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
32,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
33,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
34,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
35,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
36,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
37,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
38,105255,102615,1.0,0,0.0,0,0.0074417151162790695,0.9989223039879775,0.99822695035461,0,0.0074417151162790695
39,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
40,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
41,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
42,105255,102615,1.0,0,0.0,0,0.0024417151162790694,0.9989223039879775,0.99822695035461,0,0.0024417151162790694
43,105255,102615,1.0,0,0.0,0,0.0,0.9989223039879775,0.99822695035461,0,0.0
